Te,ssd
2020-03-11,-7.607299960796433e-10
2020-03-12,-1.3008933069054258e-09
2020-03-13,-2.1786586869973217e-09
2020-03-14,-5.514167131346528e-09
2020-03-15,-1.264432283424685e-08
2020-03-16,-2.8808709910708388e-08
2020-03-17,-5.953049821392476e-08
2020-03-18,-1.240395016092938e-07
2020-03-19,-2.679930239443648e-07
2020-03-20,-6.029843038748207e-07
2020-03-21,-1.0457741752024087e-06
2020-03-22,-1.5989554218190921e-06
2020-03-23,-2.333505502767379e-06
2020-03-24,-1.8677417830536663e-06
2020-03-25,-1.1734951139860677e-06
2020-03-26,-4.560825439750394e-07
2020-03-27,-1.3282398438200144e-08
2020-03-28,2.9128099070706784e-07
2020-03-29,1.534138042261294e-06
2020-03-30,3.926131734889994e-06
2020-03-31,5.675893348481281e-06
2020-04-01,7.547722748108321e-06
2020-04-02,9.139143011804046e-06
2020-04-03,1.09247180195788e-05
2020-04-04,1.256686805200711e-05
2020-04-05,1.4068150686623937e-05
2020-04-06,2.3334901804262647e-05
2020-04-07,4.514241771173519e-05
2020-04-08,7.29764287789462e-05
2020-04-09,0.00010749195338498881
2020-04-10,0.0001490148960569739
2020-04-11,0.0001945516325136143
2020-04-12,0.0002477948809589032
2020-04-13,0.00028981072615547477
2020-04-14,0.00036965112984032103
2020-04-15,0.0004598613046149774
2020-04-16,0.0005589418396422205
2020-04-17,0.0006660748948444426
2020-04-18,0.0007872723256892877
2020-04-19,0.0009673665681986841
2020-04-20,0.0011054107555231473
2020-04-21,0.0011213269737784233
2020-04-22,0.0011364984999640711
2020-04-23,0.0011532124981488802
2020-04-24,0.0011696131073743819
2020-04-25,0.001184099310361992
2020-04-26,0.0011342070655614613
2020-04-27,0.0011202873784071528
2020-04-28,0.0011080211660124922
2020-04-29,0.0010933098267795747
2020-04-30,0.0010759254883582192
2020-05-01,0.0010335791664992514
2020-05-02,0.0009879177502957663
2020-05-03,0.0009389663849212725
2020-05-04,0.0008804987499925144
2020-05-05,0.0007810417568300167
2020-05-06,0.0006953579780881013
2020-05-07,0.0006297906319199679
2020-05-08,0.0005990334881115348
2020-05-09,0.0005718646222149731
2020-05-10,0.0005347563563886554
2020-05-11,0.0005083422579680442
2020-05-12,0.000540892777018973
2020-05-13,0.0005531521965895322
2020-05-14,0.0005518659986845659
2020-05-15,0.0006203205357675237
2020-05-16,0.000764570223581806
2020-05-17,0.0009970054283038588
2020-05-18,0.001421975423065332
2020-05-19,0.0018315173962729706
2020-05-20,0.0022796295360673745
2020-05-21,0.0029127350008456283
2020-05-22,0.005083634500138989
2020-05-23,0.011003534059388703
2020-05-24,0.02756144129582329
2020-05-25,0.05026331521751807
2020-05-26,0.07983035283346714
2020-05-27,0.11678376676209229
2020-05-28,0.1593118546623478
2020-05-29,0.19689906284019185
2020-05-30,0.22241157918433965
2020-05-31,0.2212200138764583
2020-06-01,0.21911219137504698
2020-06-02,0.2160830142054974
2020-06-03,0.21145315308646484
2020-06-04,0.20646146171115703
2020-06-05,0.20168698445945946
2020-06-06,0.19706253250361563
2020-06-07,0.19272580259701955
2020-06-08,0.18899742724180177
2020-06-09,0.18393128599513334
2020-06-10,0.18207149192305566
2020-06-11,0.18134124983024916
2020-06-12,0.18143724816644902
2020-06-13,0.18344973736851355
2020-06-14,0.1897825111949829
2020-06-15,0.19549946597808848
2020-06-16,0.20401260796684684
2020-06-17,0.21014708058313117
2020-06-18,0.2174483414176866
2020-06-19,0.22665821509018402
2020-06-20,0.23442001830386522
2020-06-21,0.23851677073748787
2020-06-22,0.24387689379472008
2020-06-23,0.23886561089981284
2020-06-24,0.23175883515663695
2020-06-25,0.22142070106153616
2020-06-26,0.21206198027854006
2020-06-27,0.2036880874788478
2020-06-28,0.1952649869153141
2020-06-29,0.18515917115604016
