Te,nnCe
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,0.008721983696841237
2020-03-12,0.011405670988177003
2020-03-13,0.01476028010234671
2020-03-14,0.023482263799187948
2020-03-15,0.035558856610198884
2020-03-16,0.05367374582671531
2020-03-17,0.07715600962590326
2020-03-18,0.11137302259043426
2020-03-19,0.16370492477148169
2020-03-20,0.24555738715722253
2020-03-21,0.32338431860595973
2020-03-22,0.399869406409029
2020-03-23,0.4830637124404377
2020-03-24,0.5843729076883629
2020-03-25,0.6850111811134542
2020-03-26,0.7843076108928775
2020-03-27,0.8735402133297916
2020-03-28,0.9708238776407131
2020-03-29,1.0922607275736564
2020-03-30,1.2378507631286217
2020-03-31,1.3774025022780816
2020-04-01,1.5283599124157183
2020-04-02,1.7074960391123806
2020-04-03,1.8846194003405412
2020-04-04,2.0751611980253806
2020-04-05,2.276437744875563
2020-04-06,2.467650464383236
2020-04-07,2.6695979330562523
2020-04-08,2.8842929163631132
2020-04-09,3.0909368377959674
2020-04-10,3.285504166417811
2020-04-11,3.5035537588388412
2020-04-12,3.6974501656378504
2020-04-13,3.900739477956535
2020-04-14,4.1174472267318984
2020-04-15,4.336838662798597
2020-04-16,4.570319457144808
2020-04-17,4.821244218884702
2020-04-18,5.053383169585246
2020-04-19,5.3083334622621425
2020-04-20,5.543156100254023
2020-04-21,5.810182985741932
2020-04-22,6.081235402166844
2020-04-23,6.3455786003634165
2020-04-24,6.611934564028492
2020-04-25,6.893050807795913
2020-04-26,7.211738673642036
2020-04-27,7.559947099692851
2020-04-28,7.906142760275165
2020-04-29,8.26978238825116
2020-04-30,8.652207827266507
2020-05-01,9.162779334443135
2020-05-02,9.701529558178791
2020-05-03,10.26980034211914
2020-05-04,10.902479621051546
2020-05-05,11.57876881846816
2020-05-06,12.316782823585495
2020-05-07,13.067544343336674
2020-05-08,13.720351276954101
2020-05-09,14.379867428799866
2020-05-10,15.13666724495655
2020-05-11,15.928354995900602
2020-05-12,16.76902003991153
2020-05-13,17.675435422560184
2020-05-14,18.59728200713402
2020-05-15,19.51979951353069
2020-05-16,20.554360964340624
2020-05-17,21.596302555201735
2020-05-18,22.700639875586408
2020-05-19,23.907628234864664
2020-05-20,25.15822651262713
2020-05-21,26.538312702196546
2020-05-22,28.059292474561094
2020-05-23,29.76276298273647
2020-05-24,31.591024949958957
2020-05-25,33.664173382515834
2020-05-26,35.83594732302931
2020-05-27,38.04462196379864
2020-05-28,40.59144120327629
2020-05-29,43.079219322344535
2020-05-30,45.37578472190512
2020-05-31,48.05880109141805
2020-06-01,50.975969177100026
2020-06-02,54.17156981925809
2020-06-03,57.73349377668348
2020-06-04,61.24845320651049
2020-06-05,64.74596866894385
2020-06-06,68.20993804023547
2020-06-07,71.89396976941666
2020-06-08,75.5263405182396
2020-06-09,79.62634377757783
2020-06-10,83.43382512216044
2020-06-11,87.24331923221156
2020-06-12,91.16485728667597
2020-06-13,95.13805632149854
2020-06-14,99.06026529778578
2020-06-15,103.39307842964737
2020-06-16,107.38237958821797
2020-06-17,111.87151750479987
2020-06-18,116.07148811574034
2020-06-19,120.89541602191638
2020-06-20,126.177583533088
2020-06-21,131.54227442846818
2020-06-22,136.8177327214115
2020-06-23,145.43169800477645
2020-06-24,154.59716102651095
2020-06-25,164.72808055130344
2020-06-26,174.75567811537954
2020-06-27,184.88928132746338
2020-06-28,195.78572265210943
2020-06-29,207.82071831010464
2020-06-30,217.52224786828347
2020-07-01,227.5807078362099
2020-07-02,238.00817480669502
2020-07-03,248.5832445782036
2020-07-04,259.2482178739719
2020-07-05,270.28555278141306
2020-07-06,281.1256366729411
2020-07-07,292.3535133780671
2020-07-08,304.3328225247671
2020-07-09,316.1195771083138
2020-07-10,327.6567487737662
2020-07-11,339.5629274417774
2020-07-12,351.62274720721746
2020-07-13,363.43499682003187
2020-07-14,374.96478834543313
2020-07-15,386.4120564866258
2020-07-16,397.89890901536575
2020-07-17,409.51256576862124
2020-07-18,420.8665757764401
2020-07-19,432.09176879427474
2020-07-20,444.2341119439234
2020-07-21,457.3445952839215
