Te,nnCc
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.15219912515942857
2020-03-25,0.3424480316087143
2020-03-26,0.5707467193478571
2020-03-27,0.8370951883768571
2020-03-28,1.1414934386957143
2020-03-29,1.4839414703044287
2020-03-30,1.864439283203
2020-03-31,2.130787752232
2020-04-01,2.397136221261
2020-04-02,2.6634846902900002
2020-04-03,2.929833159319
2020-04-04,3.196181628348
2020-04-05,3.4625300973770003
2020-04-06,3.995227035435
2020-04-07,4.794272442522001
2020-04-08,5.585707893351029
2020-04-09,6.369533387922085
2020-04-10,7.145748926235171
2020-04-11,7.914354508290286
2020-04-12,8.675350134087429
2020-04-13,9.284146634725143
2020-04-14,10.197341385681716
2020-04-15,11.118146092896257
2020-04-16,12.046560756368773
2020-04-17,12.98258537609926
2020-04-18,13.926219952087715
2020-04-19,15.143812953363144
2020-04-20,16.057007704319716
2020-04-21,16.39945573592843
2020-04-22,16.741903767537146
2020-04-23,17.084351799145857
2020-04-24,17.42679983075457
2020-04-25,17.774683545404695
2020-04-26,17.861654474067226
2020-04-27,18.144309992220453
2020-04-28,18.43240119341508
2020-04-29,18.725928077651126
2020-04-30,19.024890644928576
2020-05-01,19.32928889524743
2020-05-02,19.64093472295483
2020-05-03,19.95982812805078
2020-05-04,20.285969110535266
2020-05-05,20.416425503529062
2020-05-06,20.655595557351024
2020-05-07,21.003479272001147
2020-05-08,21.460076647479433
2020-05-09,21.94204054381762
2020-05-10,22.449370961015717
2020-05-11,23.05816746165343
2020-05-12,24.123561337769427
2020-05-13,25.112855651305715
2020-05-14,26.026050402262285
2020-05-15,27.39584252869715
2020-05-16,29.298331593190003
2020-05-17,31.581318470581433
2020-05-18,34.62530097377
2020-05-19,37.44098478921943
2020-05-20,40.25666860466886
2020-05-21,43.605049358176295
2020-05-22,50.606209115510005
2020-05-23,62.934338253423725
2020-05-24,84.0900166505843
2020-05-25,104.56079898452744
2020-05-26,125.18378044363001
2020-05-27,146.11116015305143
2020-05-28,166.8102411747337
2020-05-29,183.39994581711144
2020-05-30,194.51048195374975
2020-05-31,196.79346883114115
2020-06-01,199.0003561459529
2020-06-02,201.16919367947474
2020-06-03,203.1477823065473
2020-06-04,204.9361220271706
2020-06-05,206.76251152908372
2020-06-06,208.58890103099688
2020-06-07,210.71968878322892
2020-06-08,213.0026756606203
2020-06-09,215.24761275672185
2020-06-10,218.3676948224902
2020-06-11,221.9063244824469
2020-06-12,225.86350173659204
2020-06-13,230.58167461653434
2020-06-14,236.82183874807086
2020-06-15,243.21420200476692
2020-06-16,250.21536176210063
2020-06-17,256.83602370653574
2020-06-18,263.5327852135506
2020-06-19,271.44713972184087
2020-06-20,279.28539466755143
2020-06-21,285.98215617456634
2020-06-22,292.9833159319
2020-06-23,299.98447568923376
2020-06-24,306.83343632140804
2020-06-25,313.5301978284229
2020-06-26,320.37915846059724
2020-06-27,327.6086169056701
2020-06-28,335.52297141396036
2020-06-29,343.8939232977289
2020-06-30,352.87367168213524
2020-07-01,362.38611700459944
2020-07-02,372.43125926512175
2020-07-03,383.6939945269195
2020-07-04,394.95672978871715
2020-07-05,406.6760624259932
2020-07-06,418.3953950632692
2020-07-07,430.87572332634227
2020-07-08,443.1277529016763
2020-07-09,455.15148378927114
2020-07-10,465.9576216755906
2020-07-11,479.35114468962036
2020-07-12,492.2880703281717
2020-07-13,505.37719509188264
2020-07-14,516.9443286039992
2020-07-15,529.4246568670723
2020-07-16,542.8181798811021
2020-07-17,556.9726985209289
2020-07-18,568.8442302833644
2020-07-19,581.4767576715969
2020-07-20,594.9210137273465
2020-07-21,609.9379940764101
2020-07-22,625.3862052800921
2020-07-23,641.92517688075
2020-07-24,658.5656145648475
2020-07-25,676.2207130833411
2020-07-26,694.0280107269942
2020-07-27,710.6684484110918
