Te,ssd
2020-03-11,-7.60729996079643e-10
2020-03-12,-1.30089330690543e-09
2020-03-13,-2.17865868699732e-09
2020-03-14,-5.51416713134653e-09
2020-03-15,-1.26443228342469e-08
2020-03-16,-2.88087099107084e-08
2020-03-17,-5.95304982139248e-08
2020-03-18,-1.24039501609294e-07
2020-03-19,-2.67993023944365e-07
2020-03-20,-6.02984303874821e-07
2020-03-21,-1.04577417520241e-06
2020-03-22,-1.59895542181909e-06
2020-03-23,-2.33350550276738e-06
2020-03-24,-1.86774178305367e-06
2020-03-25,-1.17349511398607e-06
2020-03-26,-4.56082543975039e-07
2020-03-27,-1.32823984382001e-08
2020-03-28,2.91280990707068e-07
2020-03-29,1.53413804226129e-06
2020-03-30,3.92613173488999e-06
2020-03-31,5.67589334848128e-06
2020-04-01,7.54772274810832e-06
2020-04-02,9.13914301180405e-06
2020-04-03,1.09247180195788e-05
2020-04-04,1.25668680520071e-05
2020-04-05,1.40681506866239e-05
2020-04-06,2.33349018042626e-05
2020-04-07,4.51424177117351e-05
2020-04-08,7.29764287789462e-05
2020-04-09,0.000107491953384989
2020-04-10,0.000149014896056974
2020-04-11,0.000194551632513614
2020-04-12,0.000247794880958903
2020-04-13,0.000289810726155475
2020-04-14,0.000369651129840321
2020-04-15,0.000459861304614978
2020-04-16,0.000558941839642221
2020-04-17,0.000666074894844443
2020-04-18,0.000787272325689288
2020-04-19,0.000967366568198684
2020-04-20,0.00110541075552315
2020-04-21,0.00112132697377842
2020-04-22,0.00113649849996407
2020-04-23,0.00115321249814888
2020-04-24,0.00116961310737438
2020-04-25,0.00118409931036199
2020-04-26,0.00113420706556146
2020-04-27,0.00112028737840715
2020-04-28,0.00110802116601249
2020-04-29,0.00109330982677957
2020-04-30,0.00107592548835822
2020-05-01,0.00103357916649925
2020-05-02,0.000987917750295766
2020-05-03,0.000938966384921273
2020-05-04,0.000880498749992514
2020-05-05,0.000781041756830017
2020-05-06,0.000695357978088101
2020-05-07,0.000629790631919968
2020-05-08,0.000599033488111535
2020-05-09,0.000571864622214974
2020-05-10,0.000534756356388655
2020-05-11,0.000508342257968044
2020-05-12,0.000540892777018974
2020-05-13,0.000553152196589532
2020-05-14,0.000551865998684566
2020-05-15,0.000620320535767523
2020-05-16,0.000764570223581806
2020-05-17,0.000997005428303859
2020-05-18,0.00142197542306533
2020-05-19,0.00183151739627297
2020-05-20,0.00227962953606737
2020-05-21,0.00291273500084562
2020-05-22,0.00508363450013899
2020-05-23,0.0110035340593887
2020-05-24,0.0275614412958233
2020-05-25,0.0502633152175181
2020-05-26,0.0798303528334671
2020-05-27,0.116783766762092
2020-05-28,0.159311854662348
2020-05-29,0.196899062840192
2020-05-30,0.22241157918434
2020-05-31,0.221220013876458
2020-06-01,0.219112191375047
2020-06-02,0.216083014205497
2020-06-03,0.211453153086465
2020-06-04,0.206461461711157
2020-06-05,0.20168698445946
2020-06-06,0.197062532503616
2020-06-07,0.19272580259702
2020-06-08,0.188997427241802
2020-06-09,0.183931285995133
2020-06-10,0.182071491923056
2020-06-11,0.181341249830249
2020-06-12,0.181437248166449
2020-06-13,0.183449737368513
2020-06-14,0.189782511194983
2020-06-15,0.195499465978088
2020-06-16,0.204012607966847
2020-06-17,0.210147080583131
2020-06-18,0.217448341417687
2020-06-19,0.226658215090184
2020-06-20,0.234420018303865
2020-06-21,0.238516770737488
2020-06-22,0.24387689379472
2020-06-23,0.238865610899813
2020-06-24,0.231758835156637
2020-06-25,0.221420701061536
2020-06-26,0.21206198027854
2020-06-27,0.203688087478848
2020-06-28,0.195264986915314
2020-06-29,0.18515917115604
2020-06-30,0.183200079284369
2020-07-01,0.181724983410569
2020-07-02,0.180695656353173
2020-07-03,0.182549147517044
2020-07-04,0.184168002061146
2020-07-05,0.186023711211083
2020-07-06,0.188429865685391
2020-07-07,0.19188402648954
2020-07-08,0.192640326983311
2020-07-09,0.193298710753424
2020-07-10,0.191271314454066
2020-07-11,0.195407456813301
2020-07-12,0.197867331287225
2020-07-13,0.201475876502454
2020-07-14,0.201581898520338
2020-07-15,0.204526038675773
2020-07-16,0.210015950682567
2020-07-17,0.217444907513282
2020-07-18,0.218973862333707
2020-07-19,0.223158749018776
2020-07-20,0.22706542369087
2020-07-21,0.232847453550434
2020-07-22,0.240708505205452
2020-07-23,0.251341101158113
2020-07-24,0.262560451298357
2020-07-25,0.274067725278205
2020-07-26,0.28730473304343
2020-07-27,0.296371337060455
2020-07-28,0.302802733851244
2020-07-29,0.306155578238749
2020-07-30,0.307838690270996
2020-07-31,0.31991430710298
2020-08-01,0.337506067540725
2020-08-02,0.353150941960292
2020-08-03,0.377244346746034
2020-08-04,0.4060831309543
2020-08-05,0.440893910083328
2020-08-06,0.484672133308144
2020-08-07,0.524992125560236
2020-08-08,0.575101404611674
2020-08-09,0.630544734856976
2020-08-10,0.688085812915878
2020-08-11,0.755926301086828
2020-08-12,0.832553577926464
2020-08-13,0.91692418450716
2020-08-14,1.01724612580778
2020-08-15,1.11806035343237
2020-08-16,1.2466177262292
2020-08-17,1.37612383812733
2020-08-18,1.50271792445862
2020-08-19,1.62655206354593
2020-08-20,1.8067164796283
2020-08-21,1.98551789344897
2020-08-22,2.15254035482662
2020-08-23,2.2964392213538
2020-08-24,2.44355910481281
2020-08-25,2.59447240026986
2020-08-26,2.74732383077755
2020-08-27,2.82834871522968
2020-08-28,2.89188281169367
2020-08-29,3.01033855762744
2020-08-30,3.12541352488659
2020-08-31,3.2581914657867
2020-09-01,3.4054586834113
2020-09-02,3.55787696234166
